Date,Open,High,Low,Close,Volume,Market Cap
Sep-18-2017,3582.88,4079.23,3582.88,4056.10,1645700807.02,64291653753.83
Sep-17-2017,3625.04,3664.81,3445.64,3583.22,1441625454.55,58836899904.00
Sep-16-2017,3637.52,3808.84,3487.79,3620.74,3077740069.93,60495396813.31
Sep-15-2017,3154.95,3733.45,2946.62,3638.95,3639263614.04,55915509214.28
Sep-14-2017,3882.59,3920.60,3153.86,3153.86,2256522334.49,59666179067.44
Sep-13-2017,4130.81,4131.98,3789.92,3880.49,2072152291.67,65300057280.37
Sep-12-2017,4161.27,4344.65,4085.22,4141.68,1638364300.70,70065404526.28
Sep-11-2017,4122.94,4261.67,4099.40,4163.20,1617781631.21,68983366188.97
Sep-10-2017,4226.06,4245.44,3951.04,4122.58,1517856376.31,68039152047.21
Sep-09-2017,4228.75,4308.82,4114.11,4232.76,2366424668.99,69792799202.14
Sep-08-2017,4599.88,4661.00,4075.18,4224.81,1993160104.17,73748559954.23
Sep-07-2017,4597.12,4655.04,4491.33,4603.03,1932914424.46,75581470763.22
Sep-06-2017,4376.53,4617.25,4376.53,4593.39,2368508611.11,74829602185.45
Sep-05-2017,4236.31,4427.84,3998.11,4384.54,3052981468.53,69928775179.34
Sep-04-2017,4582.96,4591.63,4108.40,4224.22,2348947437.72,72284484191.10
Sep-03-2017,4578.77,4714.08,4417.59,4581.11,2178595381.94,75805250008.40
Sep-02-2017,4892.01,4975.04,4469.24,4568.28,2868830489.51,77373634854.57
Sep-01-2017,4703.39,4886.73,4678.53,4879.76,2163654131.94,79020071789.49
Aug-31-2017,4565.30,4736.05,4549.40,4704.98,1864586485.51,76665580138.87
Aug-30-2017,4579.02,4626.52,4471.41,4568.66,2360344930.56,75310050769.53
Aug-29-2017,4382.66,4625.68,4352.13,4576.33,2085864444.44,73944224708.26
Aug-28-2017,4382.88,4403.93,4224.64,4381.98,1753622902.10,71467851471.26
Aug-27-2017,4352.40,4416.59,4317.29,4379.94,1494478105.26,71990197747.98
Aug-26-2017,4371.60,4379.28,4269.52,4333.51,1594584895.83,71507021360.01
Aug-25-2017,4334.68,4455.70,4307.35,4367.18,1975388888.89,72174095100.88
Aug-24-2017,4151.52,4376.39,4130.26,4346.28,2162524808.36,69253166450.61
Aug-23-2017,4100.52,4255.78,4078.41,4149.94,2621162673.61,68521256729.18
Aug-22-2017,4001.74,4128.76,3674.58,4099.95,3542738784.72,65051698864.46
Aug-21-2017,4087.66,4109.14,3988.60,4001.47,2392424790.21,67025089751.26
Aug-20-2017,4193.70,4196.29,4069.88,4108.93,2491604548.61,68107644315.71
Aug-19-2017,4160.62,4243.26,3970.55,4202.15,3055205365.85,67500579074.16
Aug-18-2017,4331.69,4370.13,4015.40,4128.86,2659080208.33,70206129858.11
Aug-17-2017,4376.63,4484.70,4243.71,4349.10,2291049128.92,72153449098.86
Aug-16-2017,4181.93,4381.23,3994.42,4374.59,2602043645.83,69547223799.32
Aug-15-2017,4325.13,4455.97,3906.18,4181.96,2925089895.83,69577542342.69
Aug-14-2017,4073.26,4323.70,3989.16,4306.43,2774568327.53,68861391221.40
Aug-13-2017,3884.71,4208.39,3857.80,4062.87,2929857152.78,66698944735.39
Aug-12-2017,3650.62,3949.92,3613.70,3883.17,2129099166.67,62286782771.38
Aug-11-2017,3381.28,3679.72,3372.12,3654.33,1772835958.19,57533753108.87
Aug-10-2017,3342.47,3453.45,3319.47,3391.23,1378263090.28,55815174388.93
Aug-09-2017,3419.94,3422.76,3247.67,3345.37,1624614652.78,55242986143.21
Aug-08-2017,3378.94,3484.85,3345.83,3419.01,1658408784.72,56232317367.33
Aug-07-2017,3213.94,3397.68,3180.89,3374.01,1213881289.20,54368290117.68
Aug-06-2017,3252.91,3293.29,3155.60,3218.02,1406395868.06,53335010581.11
Aug-05-2017,2895.89,3290.01,2874.83,3253.94,1595063562.50,51990748734.67
Aug-04-2017,2804.73,2899.33,2743.72,2899.33,951906801.39,46766265574.98
Aug-03-2017,2710.67,2813.31,2685.14,2802.24,944016937.50,45247008496.78
Aug-02-2017,2718.26,2762.53,2668.59,2711.93,1232875833.33,44815955867.97
Aug-01-2017,2875.34,2921.35,2685.61,2713.63,1094064902.78,45888974655.91
Jul-31-2017,2757.18,2889.62,2720.61,2872.31,703399926.83,46037036089.01
Jul-30-2017,2726.45,2758.53,2644.85,2752.85,728973611.11,44592449133.62
Jul-29-2017,2807.02,2808.76,2692.80,2729.69,1040785760.42,45108961348.93
Jul-28-2017,2671.78,2897.45,2671.78,2809.01,1187123459.93,45662635660.32
Jul-27-2017,2529.45,2693.32,2529.34,2671.57,779155975.69,42692653623.62
Jul-26-2017,2576.48,2610.76,2450.80,2527.50,1225483802.08,41410763804.40
Jul-25-2017,2754.86,2768.08,2480.96,2571.07,1128623986.11,43420773817.12
Jul-24-2017,2730.40,2777.26,2699.19,2757.50,901618210.32,45178257274.70
Jul-23-2017,2810.12,2832.18,2653.94,2731.29,1177193750.00,45295672920.66
Jul-22-2017,2667.76,2862.42,2657.71,2810.37,1159568854.17,45581631722.73
Jul-21-2017,2817.60,2838.41,2621.85,2665.27,2279173832.75,44966993768.35
Jul-20-2017,2273.43,2900.70,2269.89,2801.60,1435910381.94,40792351398.05
Jul-19-2017,2318.88,2397.17,2260.23,2283.08,1460736006.94,38319359153.35
Jul-18-2017,2228.41,2387.61,2164.77,2329.80,1294231597.22,37592621360.83
Jul-17-2017,1929.82,2230.49,1929.82,2225.04,1167305540.07,33967109053.56
Jul-16-2017,1998.86,2058.77,1843.03,1922.72,1033100534.72,32032252666.13
Jul-15-2017,2233.34,2233.34,1990.41,2007.37,986982045.14,34346519683.52
Jul-14-2017,2357.90,2363.25,2183.22,2226.36,767717547.04,37785005617.88
Jul-13-2017,2398.84,2425.22,2340.83,2360.24,1010762498.23,39245449471.84
Jul-12-2017,2337.79,2423.71,2275.14,2399.01,1122298913.71,38756181593.40
Jul-11-2017,2372.56,2413.47,2296.81,2340.78,1409258055.56,38995537206.56
Jul-10-2017,2518.44,2537.16,2321.13,2366.40,678839627.66,40817237824.68
Jul-09-2017,2571.34,2635.49,2517.59,2517.59,604168879.56,42231153309.49
Jul-08-2017,2518.66,2569.84,2492.31,2567.87,860610090.28,41539007844.66
Jul-07-2017,2608.56,2916.14,2498.87,2520.75,795842916.67,42038887407.63
Jul-06-2017,2601.99,2616.72,2581.69,2610.60,855108846.69,42767295308.17
Jul-05-2017,2601.64,2622.65,2538.55,2602.12,940907729.17,42324267936.88
Jul-04-2017,2564.06,2631.59,2559.35,2602.27,984523239.58,42661233036.50
Jul-03-2017,2506.47,2595.00,2480.47,2567.00,885058337.98,41454268437.46
Jul-02-2017,2434.55,2514.28,2394.84,2511.31,774739707.32,40223413322.74
Jul-01-2017,2480.84,2515.27,2419.23,2435.57,816500590.28,40836859702.16
Jun-30-2017,2539.32,2559.25,2478.43,2483.70,937901392.36,41500600221.97
Jun-29-2017,2574.79,2588.83,2510.48,2541.86,1075823951.22,41934600218.28
Jun-28-2017,2552.45,2603.98,2484.42,2582.24,1368180714.29,41716600486.63
Jun-27-2017,2478.45,2536.53,2332.99,2536.53,1568822403.10,40197236470.60
Jun-26-2017,2589.41,2615.25,2376.29,2421.54,1288583864.54,41527667767.91
Jun-25-2017,2608.72,2682.26,2552.12,2589.86,1022550449.12,42966779382.10
